n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall
10060,2,10,50,50,5,13,74.0,54.2,35.28,32.68,39.6,42.56,41.56,36.04,31.36,32.68,41.996,0.7009890109890111,0.7322344322344323,1.0,1.0
10060,2,10,50,50,5,14,74.0,54.2,35.28,32.68,39.6,42.56,41.56,36.04,31.36,32.68,41.996,0.6519584500466852,0.6689425770308124,1.0,1.0
10060,15,10,50,50,5,10,128.0,48.0,88.0,48.0,48.0,88.0,88.0,88.0,48.0,48.0,72.0,0.9880000000000001,1.0,0.9880000000000001,1.0
10060,15,10,50,50,5,11,128.0,48.0,88.0,48.0,48.0,88.0,88.0,88.0,48.0,48.0,72.0,0.909090909090909,0.909090909090909,1.0,1.0
10060,15,10,50,50,5,12,128.0,48.0,88.0,48.0,48.0,88.0,88.0,88.0,48.0,48.0,72.0,0.8333333333333333,0.8333333333333333,1.0,1.0
10060,15,10,50,50,5,13,128.0,48.0,88.0,48.0,48.0,88.0,88.0,88.0,48.0,48.0,72.0,0.7692307692307693,0.7692307692307693,1.0,1.0
10060,15,10,50,50,5,14,128.0,48.0,88.0,48.0,48.0,88.0,88.0,88.0,48.0,48.0,72.0,0.7142857142857143,0.7142857142857143,1.0,1.0
10110,2,10,50,100,5,10,68.12,70.4,75.6,100.4,104.48,80.76,92.0,66.72,124.24,66.8,84.952,0.9029696969696971,0.9454545454545453,0.994,1.0
10110,2,10,50,100,5,11,68.12,70.4,75.6,100.4,104.48,80.76,92.0,66.72,124.24,66.8,84.952,0.8193473193473192,0.8648018648018647,1.0,1.0
10110,2,10,50,100,5,12,68.12,70.4,75.6,100.4,104.48,80.76,92.0,66.72,124.24,66.8,84.952,0.7673992673992673,0.8076923076923077,1.0,1.0
10110,2,10,50,100,5,13,68.12,70.4,75.6,100.4,104.48,80.76,92.0,66.72,124.24,66.8,84.952,0.7073992673992675,0.7362637362637363,1.0,1.0
10110,2,10,50,100,5,14,68.12,70.4,75.6,100.4,104.48,80.76,92.0,66.72,124.24,66.8,84.952,0.6634523809523809,0.6904761904761906,1.0,1.0
10110,15,10,50,100,5,10,178.0,218.0,218.0,178.0,138.0,98.0,98.0,178.0,258.0,178.0,174.0,0.968,1.0,0.968,1.0
10110,15,10,50,100,5,11,178.0,218.0,218.0,178.0,138.0,98.0,98.0,178.0,258.0,178.0,174.0,0.9054545454545453,0.909090909090909,0.9960000000000001,1.0
10110,15,10,50,100,5,12,178.0,218.0,218.0,178.0,138.0,98.0,98.0,178.0,258.0,178.0,174.0,0.8316666666666667,0.8333333333333333,0.998,1.0
10110,15,10,50,100,5,13,178.0,218.0,218.0,178.0,138.0,98.0,98.0,178.0,258.0,178.0,174.0,0.7692307692307693,0.7692307692307693,1.0,1.0
10110,15,10,50,100,5,14,178.0,218.0,218.0,178.0,138.0,98.0,98.0,178.0,258.0,178.0,174.0,0.7142857142857143,0.7142857142857143,1.0,1.0
10045,2,20,50,25,5,20,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.8252384909776215,0.8655881799360061,1.0,1.0
10045,2,20,50,25,5,21,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.7821640046887424,0.812089681654899,1.0,1.0
10045,2,20,50,25,5,22,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.7648716911385578,0.795617490400099,1.0,1.0
10045,2,20,50,25,5,23,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.7319742824637152,0.7679812779812779,1.0,1.0
10045,2,20,50,25,5,24,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.7073134204196495,0.7337796303313544,1.0,1.0
10045,2,20,50,25,5,25,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.6826020115508435,0.7106213071730314,1.0,1.0
10045,2,20,50,25,5,26,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.66272273417631,0.6844897475737299,1.0,1.0
10045,2,20,50,25,5,27,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.635313895302281,0.6594817955496488,1.0,1.0
10045,2,20,50,25,5,28,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.6206216644813451,0.6446148076987901,1.0,1.0
10045,2,20,50,25,5,29,6.0,3.64,8.02,6.46,6.32,8.12,5.7,7.38,5.48,6.88,6.4,0.6021759544482505,0.6186967602290183,1.0,1.0
10045,15,20,50,25,5,20,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.9940000000000001,1.0,0.9940000000000001,1.0
10045,15,20,50,25,5,21,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.9523809523809523,0.9523809523809523,1.0,1.0
10045,15,20,50,25,5,22,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.908181818181818,0.909090909090909,0.999,1.0
10045,15,20,50,25,5,23,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.8695652173913044,0.8695652173913044,1.0,1.0
10045,15,20,50,25,5,24,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.8333333333333333,0.8333333333333333,1.0,1.0
10045,15,20,50,25,5,25,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.7999999999999999,0.7999999999999999,1.0,1.0
10045,15,20,50,25,5,26,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.7692307692307693,0.7692307692307693,1.0,1.0
10045,15,20,50,25,5,27,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.7407407407407406,0.7407407407407406,1.0,1.0
10045,15,20,50,25,5,28,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.7142857142857143,0.7142857142857143,1.0,1.0
10045,15,20,50,25,5,29,30.5,30.5,20.5,20.5,60.5,20.5,30.5,20.5,20.5,20.5,27.5,0.6896551724137933,0.6896551724137933,1.0,1.0
10070,2,20,50,50,5,20,19.88,16.14,16.24,14.84,15.04,17.08,23.46,17.74,15.24,19.04,17.47,0.799828353222656,0.8350390189520626,1.0,1.0
10070,2,20,50,50,5,21,19.88,16.14,16.24,14.84,15.04,17.08,23.46,17.74,15.24,19.04,17.47,0.7647722426942817,0.8048767496593582,1.0,1.0
10070,2,20,50,50,5,22,19.88,16.14,16.24,14.84,15.04,17.08,23.46,17.74,15.24,19.04,17.47,0.7298370601713204,0.7668376068376068,1.0,1.0
10070,2,20,50,50,5,23,19.88,16.14,16.24,14.84,15.04,17.08,23.46,17.74,15.24,19.04,17.47,0.7145055443053219,0.7424494407253027,1.0,1.0
10070,2,20,50,50,5,24,19.88,16.14,16.24,14.84,15.04,17.08,23.46,17.74,15.24,19.04,17.47,0.6901783697326132,0.7133061064095547,1.0,1.0
10070,2,20,50,50,5,25,19.88,16.14,16.24,14.84,15.04,17.08,23.46,17.74,15.24,19.04,17.47,0.6647782648525304,0.6861933600532044,1.0,1.0
10070,2,20,50,50,5,26,19.88,16.14,16.24,14.84,15.04,17.08,23.46,17.74,15.24,19.04,17.47,0.6464348193519494,0.6675883256528419,1.0,1.0
